FIPS,State abbrev,State,Grades,Enrollment type,School Year 2019-20,School Year 2020-2021,School Year 2021-22,Total change,Percent change,Notes
1,AL,Alabama,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
1,AL,Alabama,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
1,AL,Alabama,Kindergarten to 12th grade,Public school enrollment,724178,716084,725894,1716,0.236958316877894,
1,AL,Alabama,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
2,AK,Alaska,Kindergarten to 12th grade,Homeschool enrollment,14877,28307,21977,7100,47.7246756738589,
2,AK,Alaska,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
2,AK,Alaska,Kindergarten to 12th grade,Public school enrollment,128033,126363,127017,-1016,-0.793545414072934,
2,AK,Alaska,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),14877,28307,21977,7100,47.7246756738589,
4,AZ,Arizona,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
4,AZ,Arizona,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
4,AZ,Arizona,Kindergarten to 12th grade,Public school enrollment,1130693,1098017,1116643,-14050,-1.24260077669181,
4,AZ,Arizona,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
5,AR,Arkansas,Preschool to 12th grade,Homeschool enrollment,22249,30267,29118,6869,30.8732976763,
5,AR,Arkansas,Preschool to 12th grade,Private enrollment,19877,20202,15484,-4393,-22.1009206620717,
5,AR,Arkansas,Kindergarten to 12th grade,Public school enrollment,479432,473004,473861,-5571,-1.16200003337282,
5,AR,Arkansas,Preschool to 12th grade,Total nonpublic enrollment (private + homeschool),42126,50469,44602,2476,5.87760527939989,
6,CA,California,Kindergarten to 12th grade,Homeschool enrollment,38532,59275,52628,14096,36.5825807121353,
6,CA,California,Kindergarten to 12th grade,Private enrollment,488984,471653,498486,9502,1.94321286586064,
6,CA,California,Kindergarten to 12th grade,Public school enrollment,6163001,6002392,5892073,-270928,-4.39604017588184,
6,CA,California,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),527516,530928,551114,23598,4.4734188157326,
8,CO,Colorado,Kindergarten to 12th grade,Homeschool enrollment,7880,15773,10502,2622,33.2741116751269,
8,CO,Colorado,Kindergarten to 12th grade,Private enrollment,34409,33080,34916,507,1.47345171321456,
8,CO,Colorado,Kindergarten to 12th grade,Public school enrollment,878798,856783,855623,-23175,-2.6371248,
8,CO,Colorado,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),42289,48853,45418,3129,7.39908723308661,
9,CT,Connecticut,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
9,CT,Connecticut,Kindergarten to 12th grade,Private enrollment,48717,47016,46853,-1864,-3.82617977297452,
9,CT,Connecticut,Kindergarten to 12th grade,Public school enrollment,505210,494006,491105,-14105,-2.79190831535401,
9,CT,Connecticut,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),48717,47016,46853,-1864,-3.82617977297452,
10,DE,Delaware,Kindergarten to 12th grade,Homeschool enrollment,3102,4950,4859,1757,56.6408768536428,
10,DE,Delaware,Kindergarten to 12th grade,Private enrollment,15074,15829,15630,556,3.68847021361284,
10,DE,Delaware,Kindergarten to 12th grade,Public school enrollment,137716,135993,136187,-1529,-1.11025588893084,
10,DE,Delaware,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),18176,20779,20489,2313,12.7255721830985,
11,DC,District of Columbia,Kindergarten to 12th grade,Homeschool enrollment,389,803,1159,770,197.943444730077,
11,DC,District of Columbia,Kindergarten to 12th grade,Private enrollment,15107,17027,16220,1113,7.3674455550407,
11,DC,District of Columbia,Kindergarten to 12th grade,Public school enrollment,76990,77937,77460,470,0.610468892063904,
11,DC,District of Columbia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),15496,17830,17379,1883,12.1515229736706,
12,FL,Florida,Kindergarten to 12th grade,Homeschool enrollment,106115,143431,152109,45994,43.3435423832634,
12,FL,Florida,Kindergarten to 12th grade,Private enrollment,352821,331572,374962,22141,6.27542011388211,
12,FL,Florida,Kindergarten to 12th grade,Public school enrollment,2792884,2741297,2774130,-18754,-0.67149226391071,
12,FL,Florida,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),458936,475003,527071,68135,14.8462966513849,
13,GA,Georgia,Kindergarten to 12th grade,Homeschool enrollment,77993,86268,91142,13149,16.8592053132973,
13,GA,Georgia,Kindergarten to 12th grade,Private enrollment,98638,97240,100246,1608,1.63020336989801,
13,GA,Georgia,Kindergarten to 12th grade,Public school enrollment,1719609,1686367,1694034,-25575,-1.48725669614429,
13,GA,Georgia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),176631,183508,191388,14757,8.35470557263447,
15,HI,Hawaii,Kindergarten to 12th grade,Homeschool enrollment,3303,6232,5309,2006,60.7326672721768,Only includes homeschool students newly acknowledged by school
15,HI,Hawaii,Kindergarten to 12th grade,Private enrollment,30492,30016,31018,526,1.72504263413354,
15,HI,Hawaii,Kindergarten to 12th grade,Public school enrollment,179331,174704,171600,-7731,-4.31102263412349,
15,HI,Hawaii,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),33795,36248,36327,2532,7.49223257878384,
16,ID,Idaho,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
16,ID,Idaho,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
16,ID,Idaho,Kindergarten to 12th grade,Public school enrollment,307412,304337,310737,3325,1.08161034702614,
16,ID,Idaho,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
17,IL,Illinois,Preschool to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
17,IL,Illinois,Preschool to 12th grade,Private enrollment,193574,176944,190123,-3451,-1.78278074534803,
17,IL,Illinois,Kindergarten to 12th grade,Public school enrollment,1865886,1823359,1797260,-68626,-3.67793102043747,
17,IL,Illinois,Preschool to 12th grade,Total nonpublic enrollment (private + homeschool),193574,176944,190123,-3451,-1.78278074534803,
18,IN,Indiana,Kindergarten to 12th grade,Homeschool enrollment,11909,20888,NA,NA,NA,Only includes students withdrawing from public school that year
18,IN,Indiana,Kindergarten to 12th grade,Private enrollment,76976,73329,76360,-616,-0.800249428393265,
18,IN,Indiana,Kindergarten to 12th grade,Public school enrollment,1030417,1017039,1015440,-14977,-1.45348921844263,
18,IN,Indiana,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),88885,94217,76360,-12525,-14.0912414918152,
19,IA,Iowa,Kindergarten to 12th grade,Homeschool enrollment,7188,8831,7707,519,7.22036727879799,Only includes homeschool students involved with the district somehow (e.g. take state standardized tests)
19,IA,Iowa,Kindergarten to 12th grade,Private enrollment,32887,30729,33304,417,1.26797822847933,
19,IA,Iowa,Kindergarten to 12th grade,Public school enrollment,485856,479264,481250,-4606,-0.948017519594283,
19,IA,Iowa,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),40075,39560,41011,936,2.33562071116656,
20,KS,Kansas,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
20,KS,Kansas,Kindergarten to 12th grade,Private enrollment,26516,25786,26346,-170,-0.641122341227937,
20,KS,Kansas,Kindergarten to 12th grade,Public school enrollment,474404,462239,462879,-11525,-2.42936400198986,
20,KS,Kansas,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),26516,25786,26346,-170,-0.641122341227937,
21,KY,Kentucky,Kindergarten to 12th grade,Homeschool enrollment,24528,27013,35233,10705,43.6439986953685,
21,KY,Kentucky,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
21,KY,Kentucky,Kindergarten to 12th grade,Public school enrollment,659919,638551,631019,-28900,-4.37932534144341,
21,KY,Kentucky,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),24528,27013,35233,10705,43.6439986953685,
22,LA,Louisiana,Kindergarten to 12th grade,Homeschool enrollment,31650,33221,35222,3572,11.2859399684044,Interpret with caution (see ReadMe note)
22,LA,Louisiana,Kindergarten to 12th grade,Private enrollment,110742,104925,107489,-3253,-2.93745823626085,Interpret with caution (see ReadMe note)
22,LA,Louisiana,Kindergarten to 12th grade,Public school enrollment,683454,669959,658407,-25047,-3.66476748983837,
22,LA,Louisiana,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),142392,138146,142711,319,0.224029439856171,
23,ME,Maine,Kindergarten to 12th grade,Homeschool enrollment,6774,12044,10871,4097,60.4812518452908,
23,ME,Maine,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
23,ME,Maine,Kindergarten to 12th grade,Public school enrollment,174136,167728,167624,-6512,-3.73960582533192,
23,ME,Maine,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),6774,12044,10871,4097,60.4812518452908,
24,MD,Maryland,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
24,MD,Maryland,Kindergarten to 12th grade,Private enrollment,95423,98180,97900,2477,2.59581023442985,
24,MD,Maryland,Kindergarten to 12th grade,Public school enrollment,877201,858911,853694,-23507,-2.67977350687014,
24,MD,Maryland,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),95423,98180,97900,2477,2.59581023442985,
25,MA,Massachusetts,Kindergarten to 12th grade,Homeschool enrollment,7802,17127,13090,5288,67.7774929505255,
25,MA,Massachusetts,Kindergarten to 12th grade,Private enrollment,61610,71734,72450,10840,17.5945463398798,
25,MA,Massachusetts,Kindergarten to 12th grade,Public school enrollment,928657,900430,893364,-35293,-3.80043439073845,
25,MA,Massachusetts,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),69412,88861,85540,16128,23.2351754739814,
26,MI,Michigan,Kindergarten to 12th grade,Homeschool enrollment,581,1487,717,136,23.4079173838209,"Homeschool registration not required, numbers are likely a large undercount."
26,MI,Michigan,Kindergarten to 12th grade,Private enrollment,92426,88961,90976,-1450,-1.5688226256681,
26,MI,Michigan,Kindergarten to 12th grade,Public school enrollment,1448311,1402284,1396620,-51691,-3.56905388414504,
26,MI,Michigan,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),93007,90448,91693,-1314,-1.41279688625587,
27,MN,Minnesota,Kindergarten to 12th grade,Homeschool enrollment,20701,30955,27801,7100,34.2978600067629,
27,MN,Minnesota,Kindergarten to 12th grade,Private enrollment,65657,66138,69971,4314,6.57051037970056,
27,MN,Minnesota,Kindergarten to 12th grade,Public school enrollment,867999,850765,848619,-19380,-2.23272146626897,
27,MN,Minnesota,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),86358,97093,97772,11414,13.2170731142453,
28,MS,Mississippi,Kindergarten to 12th grade,Homeschool enrollment,18798,25780,23362,4564,24.2791786360251,
28,MS,Mississippi,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
28,MS,Mississippi,Kindergarten to 12th grade,Public school enrollment,458841,436614,434401,-24440,-5.32646385131232,
28,MS,Mississippi,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),18798,25780,23362,4564,24.2791786360251,
29,MO,Missouri,Kindergarten to 12th grade,Homeschool enrollment,6708,13785,9177,2469,36.8067978533094,
29,MO,Missouri,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
29,MO,Missouri,Kindergarten to 12th grade,Public school enrollment,876357,855198,858017,-18340,-2.09275443683339,
29,MO,Missouri,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),6708,13785,9177,2469,36.8067978533094,
30,MT,Montana,Kindergarten to 12th grade,Homeschool enrollment,5815,9868,7368,1553,26.7067927773,
30,MT,Montana,Kindergarten to 12th grade,Private enrollment,7845,7600,8634,789,10.057361376673,
30,MT,Montana,Kindergarten to 12th grade,Public school enrollment,148009,144685,148624,615,0.415515272719902,
30,MT,Montana,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),13660,17468,16002,2342,17.1449487554904,
31,NE,Nebraska,Kindergarten to 12th grade,Homeschool enrollment,9452,14780,13765,4313,45.6305543800253,
31,NE,Nebraska,Kindergarten to 12th grade,Private enrollment,33725,32316,33028,-697,-2.06671608598962,
31,NE,Nebraska,Kindergarten to 12th grade,Public school enrollment,310523,306911,308505,-2018,-0.649871346083865,
31,NE,Nebraska,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),43177,47096,46793,3616,8.37482919146768,
32,NV,Nevada,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
32,NV,Nevada,Kindergarten to 12th grade,Private enrollment,19325,19427,20893,1568,8.11384217335058,
32,NV,Nevada,Kindergarten to 12th grade,Public school enrollment,484890,472949,475855,-9035,-1.86330920414939,
32,NV,Nevada,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),19325,19427,20893,1568,8.11384217335058,
33,NH,New Hampshire,Kindergarten to 12th grade,Homeschool enrollment,2955,6110,4185,1230,41.6243654822335,
33,NH,New Hampshire,Kindergarten to 12th grade,Private enrollment,14426,14980,15926,1500,10.3978926937474,
33,NH,New Hampshire,Kindergarten to 12th grade,Public school enrollment,172779,166015,166095,-6684,-3.8685256888858,
33,NH,New Hampshire,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),17381,21090,20111,2730,15.7068062827225,
34,NJ,New Jersey,Kindergarten to 12th grade,Homeschool enrollment,1786,7210,7755,5969,334.210526315789,Data only includes students who left the public school system that school year.
34,NJ,New Jersey,Kindergarten to 12th grade,Private enrollment,148678,148215,152311,3633,2.4435356945883,
34,NJ,New Jersey,Kindergarten to 12th grade,Public school enrollment,1343638,1317397,1306871,-36767,-2.736376911043,
34,NJ,New Jersey,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),150464,155425,160066,9602,6.38159293917482,
35,NM,New Mexico,Kindergarten to 12th grade,Homeschool enrollment,9774,15645,11522,1748,17.8841825250665,Interpret with caution (see ReadMe note)
35,NM,New Mexico,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
35,NM,New Mexico,Kindergarten to 12th grade,Public school enrollment,320719,308467,307505,-13214,-4.12011761074336,
35,NM,New Mexico,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),9774,15645,11522,1748,17.8841825250665,
36,NY,New York,Kindergarten to 12th grade,Homeschool enrollment,33013,52052,54414,21401,64.82597764517,
36,NY,New York,Kindergarten to 12th grade,Private enrollment,390779,382644,382510,-8269,-2.11602977642094,
36,NY,New York,Kindergarten to 12th grade,Public school enrollment,2615760,2545847,2483362,-132398,-5.06154998929565,
36,NY,New York,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),423792,434696,436924,13132,3.09868992335862,
37,NC,North Carolina,Kindergarten to 12th grade,Homeschool enrollment,149173,179900,160528,11355,7.61196731311966,
37,NC,North Carolina,Kindergarten to 12th grade,Private enrollment,103959,107341,115311,11352,10.9196894929731,
37,NC,North Carolina,Kindergarten to 12th grade,Public school enrollment,1536154,1493730,1502068,-34086,-2.21891815534119,
37,NC,North Carolina,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),253132,287241,275839,22707,8.97041859583142,
38,ND,North Dakota,Kindergarten to 12th grade,Homeschool enrollment,3443,4657,4247,804,23.3517281440604,
38,ND,North Dakota,Kindergarten to 12th grade,Private enrollment,8353,8296,8463,110,1.31689213456243,
38,ND,North Dakota,Kindergarten to 12th grade,Public school enrollment,113056,112173,114027,971,0.858866402490801,
38,ND,North Dakota,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),11796,12953,12710,914,7.74838928450322,
39,OH,Ohio,Kindergarten to 12th grade,Homeschool enrollment,33328,51502,NA,NA,NA,
39,OH,Ohio,Kindergarten to 12th grade,Private enrollment,166189,162917,167395,1206,0.725679798301933,
39,OH,Ohio,Kindergarten to 12th grade,Public school enrollment,1647478,1615166,1612524,-34954,-2.12166717856019,
39,OH,Ohio,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),199517,214419,167395,-32122,-16.0998812131297,
40,OK,Oklahoma,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
40,OK,Oklahoma,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
40,OK,Oklahoma,Kindergarten to 12th grade,Public school enrollment,661816,656951,660660,-1156,-0.174670905508479,
40,OK,Oklahoma,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
41,OR,Oregon,Kindergarten to 12th grade,Homeschool enrollment,17971,30969,29162,11191,62.2725502197985,
41,OR,Oregon,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
41,OR,Oregon,Kindergarten to 12th grade,Public school enrollment,582661,560917,553012,-29649,-5.0885506323574,
41,OR,Oregon,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),17971,30969,29162,11191,62.2725502197985,
42,PA,Pennsylvania,Kindergarten to 12th grade,Homeschool enrollment,25979,41483,39847,13868,53.3815774279225,
42,PA,Pennsylvania,Kindergarten to 12th grade,Private enrollment,199227,203322,211201,11974,6.01022953716112,
42,PA,Pennsylvania,Kindergarten to 12th grade,Public school enrollment,1716712,1690712,1684018,-32694,-1.90445456197661,
42,PA,Pennsylvania,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),225206,244805,251048,25842,11.4748274912746,
44,RI,Rhode Island,Kindergarten to 12th grade,Homeschool enrollment,1931,3391,3181,1250,64.7332988089073,
44,RI,Rhode Island,Kindergarten to 12th grade,Private enrollment,11167,8053,14727,3560,31.8796453837198,
44,RI,Rhode Island,Kindergarten to 12th grade,Public school enrollment,140549,136908,135732,-4817,-3.4272744736711,
44,RI,Rhode Island,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),13098,11444,17908,4810,36.7231638418079,
45,SC,South Carolina,Kindergarten to 12th grade,Homeschool enrollment,20611,29927,30474,9863,47.8530881568094,
45,SC,South Carolina,Kindergarten to 12th grade,Private enrollment,36703,33492,37311,608,1.65654033730212,
45,SC,South Carolina,Kindergarten to 12th grade,Public school enrollment,758809,745817,755629,-3180,-0.419077791644537,
45,SC,South Carolina,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),57314,63419,67785,10471,18.2695327494155,
46,SD,South Dakota,Kindergarten to 12th grade,Homeschool enrollment,5342,6698,8187,2845,53.2572070385623,
46,SD,South Dakota,Kindergarten to 12th grade,Private enrollment,15468,14547,14531,-937,-6.05766744246185,
46,SD,South Dakota,Kindergarten to 12th grade,Public school enrollment,136637,136390,137943,1306,0.955817238376135,
46,SD,South Dakota,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),20810,21245,22718,1908,9.16866890917828,
47,TN,Tennessee,Kindergarten to 12th grade,Homeschool enrollment,11395,17078,13642,2247,19.719175076788,
47,TN,Tennessee,Kindergarten to 12th grade,Private enrollment,79590,87360,98452,18862,23.6989571554215,
47,TN,Tennessee,Kindergarten to 12th grade,Public school enrollment,981321,958749,967278,-14043,-1.43103021335526,
47,TN,Tennessee,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),90985,104438,112094,21109,23.2005275594878,
48,TX,Texas,Kindergarten to 12th grade,Homeschool enrollment,NA,29846,NA,NA,NA,Only includes students who left for homeschool that school year.
48,TX,Texas,Kindergarten to 12th grade,Private enrollment,235590,NA,268752,33162,14.0761492423277,
48,TX,Texas,Kindergarten to 12th grade,Public school enrollment,5220228,5154686,5183478,-36750,-0.703992239419427,
48,TX,Texas,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),235590,29846,268752,33162,14.0761492423277,
49,UT,Utah,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
49,UT,Utah,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
49,UT,Utah,Kindergarten to 12th grade,Public school enrollment,667947,666563,674892,6945,1.03975315406761,
49,UT,Utah,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
50,VT,Vermont,Kindergarten to 12th grade,Homeschool enrollment,2588,5504,4174,1586,61.2828438948995,
50,VT,Vermont,Kindergarten to 12th grade,Private enrollment,NA,8616,8966,NA,NA,
50,VT,Vermont,Kindergarten to 12th grade,Public school enrollment,78087,75715,76415,-1672,-2.14120148040007,
50,VT,Vermont,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),2588,14120,13140,NA,NA,
51,VA,Virginia,Kindergarten to 12th grade,Homeschool enrollment,38282,59638,55749,17467,45.6271877122407,Data does not count students who have religious exemption from school.
51,VA,Virginia,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
51,VA,Virginia,Kindergarten to 12th grade,Public school enrollment,1262591,1223612,1218369,-44222,-3.5024802172675,
51,VA,Virginia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),38282,59638,55749,17467,45.6271877122407,
53,WA,Washington,Kindergarten to 12th grade,Homeschool enrollment,20844,39843,32056,11212,53.7900594895413,
53,WA,Washington,Kindergarten to 12th grade,Private enrollment,73608,74856,88058,14450,19.6310183675687,
53,WA,Washington,Kindergarten to 12th grade,Public school enrollment,1107745,1069970,1070302,-37443,-3.3801100433764,
53,WA,Washington,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),94452,114699,120114,25662,27.1693558632956,
54,WV,West Virginia,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
54,WV,West Virginia,Kindergarten to 12th grade,Private enrollment,11248,11241,11769,521,4.63193456614509,
54,WV,West Virginia,Kindergarten to 12th grade,Public school enrollment,246803,241079,238404,-8399,-3.40311908688306,
54,WV,West Virginia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),11248,11241,11769,521,4.63193456614509,
55,WI,Wisconsin,Kindergarten to 12th grade,Homeschool enrollment,21644,31878,29402,7758,35.8436518203659,
55,WI,Wisconsin,Kindergarten to 12th grade,Private enrollment,114752,114508,116969,2217,1.93199247071946,
55,WI,Wisconsin,Kindergarten to 12th grade,Public school enrollment,799062,782940,778151,-20911,-2.61694336609674,
55,WI,Wisconsin,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),136396,146386,146371,9975,7.31326431860171,
56,WY,Wyoming,Kindergarten to 12th grade,Homeschool enrollment,2585,3884,3475,890,34.4294003868472,
56,WY,Wyoming,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
56,WY,Wyoming,Kindergarten to 12th grade,Public school enrollment,94214,92099,92329,-1885,-2.00076421763219,
56,WY,Wyoming,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),2585,3884,3475,890,34.4294003868472,